epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
8,471,val,-19639534.174097672,-25961.1328125,,,,,,0.0002
8,585,val,-19332293.712820508,-26075.71484375,,,,,,0.0002
8,epoch_end,train,-19328356.33105801,,,,409.8679949377435,0.0898596346378326,7.537164309540643,0.0002
9,117,val,-17416912.008547008,-26120.173828125,,,,,,0.0002
9,235,val,-17003811.46382979,-26030.3984375,,,,,,0.0002
9,353,val,-16673224.903682726,-26058.5703125,,,,,,0.0002
9,471,val,-16300291.208067944,-26460.3125,,,,,,0.0002
9,585,val,-15989092.03931624,-26231.84765625,,,,,,0.0002
9,epoch_end,train,-15987219.320819112,,,,409.6714239811813,0.0916583091020584,7.193007390129898,0.0002
10,117,val,-14005875.29059829,-26208.740234375,,,,,,0.0002
10,235,val,-13928221.106382975,-25482.677734375,,,,,,0.0002
10,353,val,-13688517.475920672,-25768.52734375,,,,,,0.0002
10,471,val,-13381860.197452225,-26221.9140625,,,,,,0.0002
10,585,val,-13129588.492307687,-25549.189453125,,,,,,0.0002
10,epoch_end,train,-13126889.14163822,,,,412.0248285889935,0.0931051596999168,7.518116939837283,0.0002
11,117,val,-11899142.444444444,-24793.1875,,,,,,0.0002
11,235,val,-11500603.668085106,-25301.265625,,,,,,0.0002
11,353,val,-11363527.645892352,-25643.69921875,,,,,,0.0002
11,471,val,-11173393.456475586,-24910.994140625,,,,,,0.0002
11,585,val,-10935998.177777776,-25945.634765625,,,,,,0.0002
11,epoch_end,train,-10932773.764505116,,,,410.938551385464,0.0940143838524818,7.487663403936169,0.0002
12,117,val,-9530159.893162396,-25464.876953125,,,,,,0.0002
12,235,val,-9474833.748936174,-26205.61328125,,,,,,0.0002
12,353,val,-9319402.586402273,-25199.58984375,,,,,,0.0002
12,471,val,-9153341.82802548,-25529.666015625,,,,,,0.0002
12,585,val,-8974908.866666676,-24824.763671875,,,,,,0.0002
12,epoch_end,train,-8972275.253412979,,,,415.8130097061754,0.0897709801793098,7.507931174336775,0.0002
13,117,val,-7871555.35042735,-25112.171875,,,,,,0.0002
13,235,val,-7677960.270212766,-25216.83984375,,,,,,0.0002
13,353,val,-7591129.781869689,-24639.927734375,,,,,,0.0002
13,471,val,-7419234.057324844,-24640.916015625,,,,,,0.0002
13,585,val,-7288265.969230772,-24150.111328125,,,,,,0.0002
13,epoch_end,train,-7285019.078498296,,,,421.2785329980789,0.0959556549787521,7.355818730555171,0.0002
14,117,val,-6590161.525641024,-24958.658203125,,,,,,0.0002
14,235,val,-6423884.961702125,-25229.2734375,,,,,,0.0002
14,353,val,-6256940.018413599,-25299.330078125,,,,,,0.0002
14,471,val,-6097877.732484075,-25540.6171875,,,,,,0.0002
14,585,val,-5988696.520512817,-25699.2578125,,,,,,0.0002
14,epoch_end,train,-5986414.381399314,,,,420.9437548198722,0.0976599007844924,7.438315838957778,0.0002
15,117,val,-5387958.517094018,-24677.111328125,,,,,,0.0002
15,235,val,-5207639.272340423,-24735.099609375,,,,,,0.0002
15,353,val,-5099936.473796036,-25501.716796875,,,,,,0.0002
