Image ID,LPIPS
00160,0.10191186517477036
00161,0.13103552162647247
00162,0.3623475730419159
00163,0.2763814628124237
00164,0.20987164974212646
00165,0.09207344800233841
00166,0.2363576889038086
00167,0.05518926680088043
00168,0.21503610908985138
00169,0.15247215330600739
00170,0.24860337376594543
00171,0.20797492563724518
00172,0.3226765990257263
00173,0.17033536732196808
00174,0.42555320262908936
00175,0.07615809142589569
00176,0.04149509593844414
00177,0.17814140021800995
00178,0.2806706130504608
00179,0.1411290317773819
00180,0.22415339946746826
00181,0.06296291947364807
00182,0.24593517184257507
00183,0.18479987978935242
00184,0.15884265303611755
00185,0.2620299458503723
00186,0.18157687783241272
00187,0.17535090446472168
00188,0.12875699996948242
00189,0.3024030029773712
00190,0.1729673594236374
00191,0.2815779447555542
00192,0.2070876657962799
00193,0.16689223051071167
00194,0.12157518416643143
00195,0.11912232637405396
00196,0.08780525624752045
00197,0.11322375386953354
00198,0.2451879382133484
00199,0.03949127346277237
00200,0.2683362662792206
00201,0.09169352799654007
00202,0.2580164670944214
00203,0.12958447635173798
00204,0.25965675711631775
00205,0.4321635961532593
00206,0.2137029767036438
00207,0.2631775438785553
00208,0.08033568412065506
00209,0.16037270426750183
00210,0.03182484954595566
00211,0.19518260657787323
00212,0.04712967947125435
00213,0.24052661657333374
00214,0.22309398651123047
00215,0.1931847780942917
00216,0.4082091748714447
00217,0.16138041019439697
00218,0.3788645267486572
00219,0.24747632443904877
00220,0.19568826258182526
00221,0.14296789467334747
00222,0.23306496441364288
00223,0.1490963250398636
00224,0.13520783185958862
00225,0.2066842019557953
00226,0.08176450431346893
00227,0.030296428129076958
00228,0.2453126609325409
00229,0.22741633653640747
00230,0.18159110844135284
00231,0.24234646558761597
00232,0.04713326692581177
00233,0.3199206590652466
00234,0.2478903830051422
00235,0.07086220383644104
00236,0.12864162027835846
00237,0.3022031784057617
00238,0.2859000861644745
00239,0.14302471280097961
00240,0.27288031578063965
00241,0.16519631445407867
00242,0.14196544885635376
00243,0.23900851607322693
00244,0.369322270154953
00245,0.45573580265045166
